"ICOS.Timestamp","Mean.soil.t.C","Median.soil.t.C"
2015-01-01 00:30:00,-0.27375,-0.3225
2015-01-01 01:00:00,-0.265,-0.309
2015-01-01 01:30:00,-0.257,-0.2965
2015-01-01 02:00:00,-0.2565,-0.296
2015-01-01 02:30:00,-0.251,-0.2875
2015-01-01 03:00:00,-0.2455,-0.2815
2015-01-01 03:30:00,-0.2245,-0.24
2015-01-01 04:00:00,-0.19225,-0.179
2015-01-01 04:30:00,-0.15775,-0.1435
2015-01-01 05:00:00,-0.12275,-0.141
2015-01-01 05:30:00,-0.10975,-0.134
2015-01-01 06:00:00,-0.082,-0.134
2015-01-01 06:30:00,-0.02575,-0.127
2015-01-01 07:00:00,0.02925,-0.114
2015-01-01 07:30:00,0.052,-0.113
2015-01-01 08:00:00,0.08125,-0.1015
2015-01-01 08:30:00,0.11425,-0.083
2015-01-01 09:00:00,0.18675,-0.025
2015-01-01 09:30:00,0.2645,0.0345
2015-01-01 10:00:00,0.34375,0.1075
2015-01-01 10:30:00,0.39,0.167
2015-01-01 11:00:00,0.485,0.2485
2015-01-01 11:30:00,0.5665,0.3225
2015-01-01 12:00:00,0.63475,0.3955
2015-01-01 12:30:00,0.6855,0.463
2015-01-01 13:00:00,0.7415,0.5355
2015-01-01 13:30:00,0.81425,0.608
2015-01-01 14:00:00,0.9515,0.7405
2015-01-01 14:30:00,1.0165,0.8235
2015-01-01 15:00:00,1.06375,0.883
2015-01-01 15:30:00,1.10625,0.9525
2015-01-01 16:00:00,1.1715,1.0415
2015-01-01 16:30:00,1.21325,1.1025
2015-01-01 17:00:00,1.2305,1.1275
2015-01-01 17:30:00,1.277,1.1895
2015-01-01 18:00:00,1.3765,1.2945
2015-01-01 18:30:00,1.47525,1.401
2015-01-01 19:00:00,1.54375,1.482
2015-01-01 19:30:00,1.61175,1.558
2015-01-01 20:00:00,1.645,1.606
2015-01-01 20:30:00,1.72275,1.68
2015-01-01 21:00:00,1.83925,1.7855
2015-01-01 21:30:00,1.926,1.8735
2015-01-01 22:00:00,1.9925,1.95
2015-01-01 22:30:00,2.06275,2.02
2015-01-01 23:00:00,2.13525,2.0905
2015-01-01 23:30:00,2.233,2.185
2015-01-02 00:00:00,2.33675,2.29
2015-01-02 00:30:00,2.4285,2.38
2015-01-02 01:00:00,2.46925,2.4245
2015-01-02 01:30:00,2.49125,2.45
2015-01-02 02:00:00,2.52575,2.493
2015-01-02 02:30:00,2.56475,2.531
2015-01-02 03:00:00,2.60625,2.573
2015-01-02 03:30:00,2.64225,2.601
2015-01-02 04:00:00,2.6935,2.6595
2015-01-02 04:30:00,2.7405,2.7045
2015-01-02 05:00:00,2.85,2.801
2015-01-02 05:30:00,2.95625,2.882
2015-01-02 06:00:00,3.12325,3.037
2015-01-02 06:30:00,3.3665,3.249
2015-01-02 07:00:00,3.61725,3.4885
2015-01-02 07:30:00,3.80425,3.665
2015-01-02 08:00:00,3.934,3.785
2015-01-02 08:30:00,3.98475,3.853
2015-01-02 09:00:00,3.903,3.802
2015-01-02 09:30:00,3.72125,3.668
2015-01-02 10:00:00,3.5225,3.5045
2015-01-02 10:30:00,3.32625,3.3345
2015-01-02 11:00:00,3.191,3.191
2015-01-02 11:30:00,3.17975,3.155
2015-01-02 12:00:00,3.0605,3.066
2015-01-02 12:30:00,2.983,2.9895
2015-01-02 13:00:00,2.913,2.9095
2015-01-02 13:30:00,2.7105,2.6905
2015-01-02 14:00:00,2.60425,2.5845
2015-01-02 14:30:00,2.42575,2.382
2015-01-02 15:00:00,2.17925,2.0955
2015-01-02 15:30:00,1.955,1.8585
2015-01-02 16:00:00,1.74525,1.6155
2015-01-02 16:30:00,1.4745,1.311
2015-01-02 17:00:00,1.2535,1.09
2015-01-02 17:30:00,1.09825,0.947
2015-01-02 18:00:00,1.01075,0.87
2015-01-02 18:30:00,0.85825,0.7135
2015-01-02 19:00:00,0.72325,0.589
2015-01-02 19:30:00,0.6775,0.56
